Producto,Categoria,Precio,Cantidad,Cliente,Ciudad,Pais,Fecha
Gnocchi di nonna Alice,Grains/Cereals,"30,4",20,Around the Horn,Colchester,UK,16/1/2015
Sir Rodney's Marmalade,Confections,"64,8",28,Berglunds snabbköp,Luleå,Sweden,16/1/2015
Camembert Pierrot,Dairy Products,"27,2",15,Berglunds snabbköp,Luleå,Sweden,16/1/2015
Uncle Bob's Organic Dried Pears,Produce,24,10,Split Rail Beer & Ale,Lander,USA,17/1/2015
Camembert Pierrot,Dairy Products,"27,2",20,Split Rail Beer & Ale,Lander,USA,17/1/2015
Scottish Longbreads,Confections,10,8,Split Rail Beer & Ale,Lander,USA,17/1/2015
Guaraná Fantástica,Beverages,"3,6",15,Familia Arquibaldo,São Paulo,Brazil,18/1/2015
Sasquatch Ale,Beverages,"11,2",10,Familia Arquibaldo,São Paulo,Brazil,18/1/2015
Guaraná Fantástica,Beverages,"3,6",15,Santé Gourmet,Stavern,Norway,18/1/2015
Rössle Sauerkraut,Produce,"36,4",6,Santé Gourmet,Stavern,Norway,18/1/2015
Raclette Courdavault,Dairy Products,44,12,Santé Gourmet,Stavern,Norway,18/1/2015
Fløtemysost,Dairy Products,"17,2",15,Santé Gourmet,Stavern,Norway,18/1/2015
Røgede sild,Seafood,"7,6",15,Seven Seas Imports,London,UK,19/1/2015
Perth Pasties,Meat/Poultry,"26,2",40,Seven Seas Imports,London,UK,19/1/2015
Filo Mix,Grains/Cereals,"5,6",20,Seven Seas Imports,London,UK,19/1/2015
Ikura,Seafood,"24,8",16,Bottom-Dollar Markets,Tsawassen,Canada,20/1/2015
Pâté chinois,Meat/Poultry,"19,2",15,Bottom-Dollar Markets,Tsawassen,Canada,20/1/2015
Tarte au sucre,Confections,"39,4",20,Bottom-Dollar Markets,Tsawassen,Canada,20/1/2015
Outback Lager,Beverages,12,30,Bottom-Dollar Markets,Tsawassen,Canada,20/1/2015
Steeleye Stout,Beverages,"14,4",40,Ernst Handel,Graz,Austria,23/1/2015
Spegesild,Seafood,"9,6",45,Ernst Handel,Graz,Austria,23/1/2015
Gorgonzola Telino,Dairy Products,10,60,Ernst Handel,Graz,Austria,23/1/2015
Mozzarella di Giovanni,Dairy Products,"27,8",24,Ernst Handel,Graz,Austria,23/1/2015
Konbu,Seafood,"4,8",18,Drachenblut Delikatessen,Aachen,Germany,23/1/2015
Gudbrandsdalsost,Dairy Products,"28,8",50,Piccolo und mehr,Salzburg,Austria,24/1/2015
Gorgonzola Telino,Dairy Products,10,32,Save-a-lot Markets,Boise,USA,25/1/2015
Chang,Beverages,"15,2",25,Save-a-lot Markets,Boise,USA,25/1/2015
Tofu,Produce,"18,6",42,Save-a-lot Markets,Boise,USA,25/1/2015
NuNuCa Nuß-Nougat-Creme,Confections,"11,2",7,Save-a-lot Markets,Boise,USA,25/1/2015
Gumbär Gummibärchen,Confections,"24,9",70,Save-a-lot Markets,Boise,USA,25/1/2015
Tarte au sucre,Confections,"39,4",10,Hungry Coyote Import Store,Elgin,USA,25/1/2015
Konbu,Seafood,"4,8",10,Hungry Coyote Import Store,Elgin,USA,25/1/2015
Spegesild,Seafood,"9,6",28,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/1/2015
Perth Pasties,Meat/Poultry,"26,2",70,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/1/2015
Gudbrandsdalsost,Dairy Products,"28,8",8,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/1/2015
Mozzarella di Giovanni,Dairy Products,"27,8",21,Frankenversand,München,Germany,27/1/2015
Tunnbröd,Grains/Cereals,"7,2",40,Frankenversand,München,Germany,27/1/2015
Fløtemysost,Dairy Products,"17,2",60,Frankenversand,München,Germany,27/1/2015
Sir Rodney's Scones,Confections,8,10,Princesa Isabel Vinhos,Lisboa,Portugal,27/1/2015
Manjimup Dried Apples,Produce,"42,4",18,Princesa Isabel Vinhos,Lisboa,Portugal,27/1/2015
Steeleye Stout,Beverages,"14,4",30,Save-a-lot Markets,Boise,USA,30/1/2015
Pâté chinois,Meat/Poultry,"19,2",120,Save-a-lot Markets,Boise,USA,30/1/2015
Original Frankfurter grüne Soße,Condiments,"10,4",14,Vaffeljernet,Århus,Denmark,31/1/2015
Scottish Longbreads,Confections,10,60,Vaffeljernet,Århus,Denmark,31/1/2015
Fløtemysost,Dairy Products,"17,2",30,Vaffeljernet,Århus,Denmark,31/1/2015
Lakkalikööri,Beverages,"14,4",35,Vaffeljernet,Århus,Denmark,31/1/2015
Maxilaku,Confections,16,30,Eastern Connection,London,UK,1/2/2015
Steeleye Stout,Beverages,"14,4",35,Eastern Connection,London,UK,1/2/2015
Thüringer Rostbratwurst,Meat/Poultry,99,21,Eastern Connection,London,UK,1/2/2015
Nord-Ost Matjeshering,Seafood,"20,7",18,Rattlesnake Canyon Grocery,Albuquerque,USA,1/2/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",70,Rattlesnake Canyon Grocery,Albuquerque,USA,1/2/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",20,Rattlesnake Canyon Grocery,Albuquerque,USA,1/2/2015
Fløtemysost,Dairy Products,"17,2",60,Rattlesnake Canyon Grocery,Albuquerque,USA,1/2/2015
Vegie-spread,Condiments,"35,1",65,Ernst Handel,Graz,Austria,2/2/2015
Tunnbröd,Grains/Cereals,"7,2",60,Ernst Handel,Graz,Austria,2/2/2015
Pavlova,Confections,"13,9",21,Ernst Handel,Graz,Austria,3/2/2015
Chocolade,Confections,"10,2",70,Ernst Handel,Graz,Austria,3/2/2015
Gumbär Gummibärchen,Confections,"24,9",30,Magazzini Alimentari Riuniti,Bergamo,Italy,3/2/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,"11,2",40,Magazzini Alimentari Riuniti,Bergamo,Italy,3/2/2015
Maxilaku,Confections,16,30,Magazzini Alimentari Riuniti,Bergamo,Italy,3/2/2015
Aniseed Syrup,Condiments,8,50,LINO-Delicateses,I. de Margarita,Venezuela,6/2/2015
Inlagd Sill,Seafood,"15,2",5,Queen Cozinha,São Paulo,Brazil,7/2/2015
Rössle Sauerkraut,Produce,"36,4",42,Queen Cozinha,São Paulo,Brazil,7/2/2015
Sir Rodney's Scones,Confections,8,30,Queen Cozinha,São Paulo,Brazil,7/2/2015
Chai,Beverages,"14,4",10,Queen Cozinha,São Paulo,Brazil,7/2/2015
Boston Crab Meat,Seafood,"14,7",2,Queen Cozinha,São Paulo,Brazil,7/2/2015
Queso Cabrales,Dairy Products,"16,8",30,Ottilies Käseladen,Köln,Germany,7/2/2015
Gudbrandsdalsost,Dairy Products,"28,8",15,Ottilies Käseladen,Köln,Germany,7/2/2015
Fløtemysost,Dairy Products,"17,2",15,Ottilies Käseladen,Köln,Germany,7/2/2015
Tarte au sucre,Confections,"39,4",35,Folies gourmandes,Lille,France,8/2/2015
Gravad lax,Seafood,"20,8",10,Folies gourmandes,Lille,France,8/2/2015
Tourtière,Meat/Poultry,"5,9",6,Folies gourmandes,Lille,France,8/2/2015
Tofu,Produce,"18,6",12,Océano Atlántico Ltda.,Buenos Aires,Argentina,9/2/2015
Sir Rodney's Scones,Confections,8,12,Océano Atlántico Ltda.,Buenos Aires,Argentina,9/2/2015
Geitost,Dairy Products,2,49,Bottom-Dollar Markets,Tsawassen,Canada,10/2/2015
Raclette Courdavault,Dairy Products,44,16,Bottom-Dollar Markets,Tsawassen,Canada,10/2/2015
Jack's New England Clam Chowder,Seafood,"7,7",25,Bottom-Dollar Markets,Tsawassen,Canada,10/2/2015
Gula Malacca,Condiments,"15,5",40,Bottom-Dollar Markets,Tsawassen,Canada,10/2/2015
Raclette Courdavault,Dairy Products,44,9,Bottom-Dollar Markets,Tsawassen,Canada,10/2/2015
Tofu,Produce,"18,6",20,Wartian Herkku,Oulu,Finland,13/2/2015
Lakkalikööri,Beverages,"14,4",14,La maison d'Asie,Toulouse,France,14/2/2015
Tarte au sucre,Confections,"39,4",40,La maison d'Asie,Toulouse,France,14/2/2015
Chai,Beverages,"14,4",24,La maison d'Asie,Toulouse,France,14/2/2015
Teatime Chocolate Biscuits,Confections,"7,3",18,Familia Arquibaldo,São Paulo,Brazil,14/2/2015
Geitost,Dairy Products,2,50,Familia Arquibaldo,São Paulo,Brazil,14/2/2015
Alice Mutton,Meat/Poultry,"31,2",2,Hungry Coyote Import Store,Elgin,USA,15/2/2015
Geitost,Dairy Products,2,20,Hungry Coyote Import Store,Elgin,USA,15/2/2015
Teatime Chocolate Biscuits,Confections,"7,3",20,Wartian Herkku,Oulu,Finland,16/2/2015
Perth Pasties,Meat/Poultry,"26,2",10,Wartian Herkku,Oulu,Finland,16/2/2015
Ravioli Angelo,Grains/Cereals,"15,6",20,Wartian Herkku,Oulu,Finland,16/2/2015
Côte de Blaye,Beverages,"210,8",50,Simons bistro,København,Denmark,16/2/2015
Spegesild,Seafood,"9,6",2,Simons bistro,København,Denmark,16/2/2015
Scottish Longbreads,Confections,10,36,Simons bistro,København,Denmark,16/2/2015
Original Frankfurter grüne Soße,Condiments,"10,4",35,Simons bistro,København,Denmark,16/2/2015
Sirop d'érable,Condiments,"22,8",16,QUICK-Stop,Cunewalde,Germany,17/2/2015
Longlife Tofu,Produce,8,15,QUICK-Stop,Cunewalde,Germany,17/2/2015
Chang,Beverages,"15,2",60,QUICK-Stop,Cunewalde,Germany,17/2/2015
Zaanse koeken,Confections,"7,6",55,QUICK-Stop,Cunewalde,Germany,17/2/2015
Gudbrandsdalsost,Dairy Products,"28,8",20,Richter Supermarkt,Genève,Switzerland,20/2/2015
Camembert Pierrot,Dairy Products,"27,2",60,Richter Supermarkt,Genève,Switzerland,20/2/2015
Mishi Kobe Niku,Meat/Poultry,"77,6",20,Wellington Importadora,Resende,Brazil,21/2/2015
Konbu,Seafood,"4,8",2,Wellington Importadora,Resende,Brazil,21/2/2015
Outback Lager,Beverages,12,8,Wellington Importadora,Resende,Brazil,21/2/2015
Röd Kaviar,Seafood,12,20,Wellington Importadora,Resende,Brazil,21/2/2015
Teatime Chocolate Biscuits,Confections,"7,3",4,Que Delícia,Rio de Janeiro,Brazil,21/2/2015
Original Frankfurter grüne Soße,Condiments,"10,4",10,Que Delícia,Rio de Janeiro,Brazil,21/2/2015
Gumbär Gummibärchen,Confections,"24,9",30,Que Delícia,Rio de Janeiro,Brazil,21/2/2015
Perth Pasties,Meat/Poultry,"26,2",15,Que Delícia,Rio de Janeiro,Brazil,21/2/2015
Gumbär Gummibärchen,Confections,"24,9",2,Franchi S.p.A.,Torino,Italy,22/2/2015
Gorgonzola Telino,Dairy Products,10,14,Gourmet Lanchonetes,Campinas,Brazil,23/2/2015
Raclette Courdavault,Dairy Products,44,20,Gourmet Lanchonetes,Campinas,Brazil,23/2/2015
Scottish Longbreads,Confections,10,30,Mère Paillarde,Montréal,Canada,23/2/2015
Steeleye Stout,Beverages,"14,4",60,Mère Paillarde,Montréal,Canada,23/2/2015
Côte de Blaye,Beverages,"210,8",49,Mère Paillarde,Montréal,Canada,23/2/2015
Lakkalikööri,Beverages,"14,4",20,La maison d'Asie,Toulouse,France,24/2/2015
Pâté chinois,Meat/Poultry,"19,2",10,La maison d'Asie,Toulouse,France,24/2/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",5,Galería del gastrónomo,Barcelona,Spain,27/2/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",7,Galería del gastrónomo,Barcelona,Spain,27/2/2015
Tofu,Produce,"18,6",35,Piccolo und mehr,Salzburg,Austria,27/2/2015
Spegesild,Seafood,"9,6",20,Reggiani Caseifici,Reggio Emilia,Italy,28/2/2015
Vegie-spread,Condiments,"35,1",35,Hungry Owl All-Night Grocers,Cork,Ireland,1/3/2015
Valkoinen suklaa,Confections,13,40,Hungry Owl All-Night Grocers,Cork,Ireland,1/3/2015
Raclette Courdavault,Dairy Products,44,70,Ernst Handel,Graz,Austria,2/3/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",30,Ernst Handel,Graz,Austria,2/3/2015
Alice Mutton,Meat/Poultry,"31,2",45,Ernst Handel,Graz,Austria,2/3/2015
Sir Rodney's Scones,Confections,8,50,Ernst Handel,Graz,Austria,2/3/2015
Alice Mutton,Meat/Poultry,"31,2",50,Bottom-Dollar Markets,Tsawassen,Canada,2/3/2015
Boston Crab Meat,Seafood,"14,7",50,Bottom-Dollar Markets,Tsawassen,Canada,2/3/2015
Zaanse koeken,Confections,"7,6",30,Bottom-Dollar Markets,Tsawassen,Canada,2/3/2015
Gumbär Gummibärchen,Confections,"24,9",10,Split Rail Beer & Ale,Lander,USA,3/3/2015
Tourtière,Meat/Poultry,"5,9",40,Split Rail Beer & Ale,Lander,USA,3/3/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",28,Princesa Isabel Vinhos,Lisboa,Portugal,6/3/2015
Queso Cabrales,Dairy Products,"16,8",6,Folk och fä HB,Bräcke,Sweden,6/3/2015
Lakkalikööri,Beverages,"14,4",18,Folk och fä HB,Bräcke,Sweden,6/3/2015
Chang,Beverages,"15,2",10,Consolidated Holdings,London,UK,7/3/2015
Gustaf's Knäckebröd,Grains/Cereals,"16,8",12,Consolidated Holdings,London,UK,7/3/2015
Mozzarella di Giovanni,Dairy Products,"27,8",10,Consolidated Holdings,London,UK,7/3/2015
Spegesild,Seafood,"9,6",5,Blondel père et fils,Strasbourg,France,8/3/2015
Rhönbräu Klosterbier,Beverages,"6,2",24,Blondel père et fils,Strasbourg,France,8/3/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",40,Blondel père et fils,Strasbourg,France,8/3/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",30,Blondel père et fils,Strasbourg,France,8/3/2015
Perth Pasties,Meat/Poultry,"26,2",15,Wartian Herkku,Oulu,Finland,8/3/2015
Teatime Chocolate Biscuits,Confections,"7,3",15,Toms Spezialitäten,Münster,Germany,9/3/2015
Sasquatch Ale,Beverages,"11,2",20,Toms Spezialitäten,Münster,Germany,9/3/2015
Ravioli Angelo,Grains/Cereals,"15,6",15,Toms Spezialitäten,Münster,Germany,9/3/2015
Pavlova,Confections,"13,9",16,Mère Paillarde,Montréal,Canada,10/3/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",6,Mère Paillarde,Montréal,Canada,10/3/2015
Longlife Tofu,Produce,8,30,Mère Paillarde,Montréal,Canada,10/3/2015
Queso Manchego La Pastora,Dairy Products,"30,4",15,Mère Paillarde,Montréal,Canada,10/3/2015
Chang,Beverages,"15,2",45,Save-a-lot Markets,Boise,USA,13/3/2015
Pavlova,Confections,"13,9",49,Save-a-lot Markets,Boise,USA,13/3/2015
Thüringer Rostbratwurst,Meat/Poultry,99,24,Save-a-lot Markets,Boise,USA,13/3/2015
Sirop d'érable,Condiments,"22,8",90,Save-a-lot Markets,Boise,USA,13/3/2015
Schoggi Schokolade,Confections,"35,1",50,Old World Delicatessen,Anchorage,USA,13/3/2015
Queso Cabrales,Dairy Products,"16,8",30,Ernst Handel,Graz,Austria,14/3/2015
Tourtière,Meat/Poultry,"5,9",80,Ernst Handel,Graz,Austria,14/3/2015
Louisiana Hot Spiced Okra,Condiments,"13,6",60,Ernst Handel,Graz,Austria,14/3/2015
Queso Cabrales,Dairy Products,"16,8",6,Reggiani Caseifici,Reggio Emilia,Italy,15/3/2015
Rössle Sauerkraut,Produce,"36,4",12,Reggiani Caseifici,Reggio Emilia,Italy,15/3/2015
Alice Mutton,Meat/Poultry,"31,2",10,Berglunds snabbköp,Luleå,Sweden,15/3/2015
Gumbär Gummibärchen,Confections,"24,9",15,Berglunds snabbköp,Luleå,Sweden,15/3/2015
Steeleye Stout,Beverages,"14,4",8,Berglunds snabbköp,Luleå,Sweden,15/3/2015
Jack's New England Clam Chowder,Seafood,"7,7",30,Berglunds snabbköp,Luleå,Sweden,15/3/2015
Chartreuse verte,Beverages,"14,4",6,Berglunds snabbköp,Luleå,Sweden,16/3/2015
Tourtière,Meat/Poultry,"5,9",15,Berglunds snabbköp,Luleå,Sweden,16/3/2015
Teatime Chocolate Biscuits,Confections,"7,3",12,Toms Spezialitäten,Münster,Germany,17/3/2015
Guaraná Fantástica,Beverages,"3,6",20,Toms Spezialitäten,Münster,Germany,17/3/2015
Gorgonzola Telino,Dairy Products,10,3,Toms Spezialitäten,Münster,Germany,17/3/2015
Filo Mix,Grains/Cereals,"5,6",15,Toms Spezialitäten,Münster,Germany,17/3/2015
Fløtemysost,Dairy Products,"17,2",2,Ricardo Adocicados,Rio de Janeiro,Brazil,17/3/2015
Teatime Chocolate Biscuits,Confections,"7,3",40,Ricardo Adocicados,Rio de Janeiro,Brazil,17/3/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",35,Ricardo Adocicados,Rio de Janeiro,Brazil,17/3/2015
Gumbär Gummibärchen,Confections,"24,9",6,Rancho grande,Buenos Aires,Argentina,20/3/2015
Boston Crab Meat,Seafood,"14,7",20,Rancho grande,Buenos Aires,Argentina,20/3/2015
Ikura,Seafood,"24,8",14,Blondel père et fils,Strasbourg,France,21/3/2015
Filo Mix,Grains/Cereals,"5,6",20,Blondel père et fils,Strasbourg,France,21/3/2015
Tarte au sucre,Confections,"39,4",35,Blondel père et fils,Strasbourg,France,21/3/2015
Tourtière,Meat/Poultry,"5,9",6,Victuailles en stock,Lyon,France,22/3/2015
Ikura,Seafood,"24,8",20,Victuailles en stock,Lyon,France,22/3/2015
Original Frankfurter grüne Soße,Condiments,"10,4",55,QUICK-Stop,Cunewalde,Germany,22/3/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",28,QUICK-Stop,Cunewalde,Germany,22/3/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",35,QUICK-Stop,Cunewalde,Germany,22/3/2015
Pâté chinois,Meat/Poultry,"19,2",120,QUICK-Stop,Cunewalde,Germany,22/3/2015
Rössle Sauerkraut,Produce,"36,4",15,Save-a-lot Markets,Boise,USA,23/3/2015
Gula Malacca,Condiments,"15,5",100,Save-a-lot Markets,Boise,USA,23/3/2015
Chocolade,Confections,"10,2",15,Around the Horn,Colchester,UK,24/3/2015
Outback Lager,Beverages,12,25,Around the Horn,Colchester,UK,24/3/2015
Spegesild,Seafood,"9,6",10,La maison d'Asie,Toulouse,France,24/3/2015
Pavlova,Confections,"13,9",20,La maison d'Asie,Toulouse,France,24/3/2015
Geitost,Dairy Products,2,20,La maison d'Asie,Toulouse,France,24/3/2015
Fløtemysost,Dairy Products,"17,2",30,Wartian Herkku,Oulu,Finland,27/3/2015
Sirop d'érable,Condiments,"22,8",25,Wartian Herkku,Oulu,Finland,27/3/2015
Chartreuse verte,Beverages,"14,4",20,Wartian Herkku,Oulu,Finland,27/3/2015
Perth Pasties,Meat/Poultry,"26,2",50,Wartian Herkku,Oulu,Finland,27/3/2015
Sir Rodney's Scones,Confections,8,40,Königlich Essen,Brandenburg,Germany,28/3/2015
Maxilaku,Confections,16,21,Königlich Essen,Brandenburg,Germany,28/3/2015
Raclette Courdavault,Dairy Products,44,36,Königlich Essen,Brandenburg,Germany,28/3/2015
Gumbär Gummibärchen,Confections,"24,9",30,Suprêmes délices,Charleroi,Belgium,29/3/2015
Fløtemysost,Dairy Products,"17,2",50,Suprêmes délices,Charleroi,Belgium,29/3/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",15,Suprêmes délices,Charleroi,Belgium,29/3/2015
Ipoh Coffee,Beverages,"36,8",20,Suprêmes délices,Charleroi,Belgium,29/3/2015
Rössle Sauerkraut,Produce,"36,4",30,Suprêmes délices,Charleroi,Belgium,29/3/2015
Uncle Bob's Organic Dried Pears,Produce,24,16,Victuailles en stock,Lyon,France,30/3/2015
Spegesild,Seafood,"9,6",20,Victuailles en stock,Lyon,France,30/3/2015
Mozzarella di Giovanni,Dairy Products,"27,8",40,Victuailles en stock,Lyon,France,30/3/2015
Scottish Longbreads,Confections,10,21,Folk och fä HB,Bräcke,Sweden,31/3/2015
Rhönbräu Klosterbier,Beverages,"6,2",4,Folk och fä HB,Bräcke,Sweden,31/3/2015
Sir Rodney's Scones,Confections,8,40,LILA-Supermercado,Barquisimeto,Venezuela,31/3/2015
Nord-Ost Matjeshering,Seafood,"20,7",28,LILA-Supermercado,Barquisimeto,Venezuela,31/3/2015
Pâté chinois,Meat/Poultry,"19,2",60,LILA-Supermercado,Barquisimeto,Venezuela,31/3/2015
Konbu,Seafood,"4,8",1,Consolidated Holdings,London,UK,3/4/2015
Tunnbröd,Grains/Cereals,"7,2",21,Consolidated Holdings,London,UK,3/4/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,"11,2",50,Suprêmes délices,Charleroi,Belgium,4/4/2015
Teatime Chocolate Biscuits,Confections,"7,3",21,Suprêmes délices,Charleroi,Belgium,4/4/2015
Camembert Pierrot,Dairy Products,"27,2",20,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,4/4/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",30,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,4/4/2015
Chef Anton's Cajun Seasoning,Condiments,"17,6",16,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,4/4/2015
Ipoh Coffee,Beverages,"36,8",3,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,4/4/2015
Guaraná Fantástica,Beverages,"3,6",25,Vaffeljernet,Århus,Denmark,5/4/2015
Thüringer Rostbratwurst,Meat/Poultry,99,18,Vaffeljernet,Århus,Denmark,5/4/2015
Boston Crab Meat,Seafood,"14,7",20,Vaffeljernet,Århus,Denmark,5/4/2015
Røgede sild,Seafood,"7,6",30,Vaffeljernet,Århus,Denmark,5/4/2015
Valkoinen suklaa,Confections,13,25,Vaffeljernet,Århus,Denmark,5/4/2015
Queso Cabrales,Dairy Products,"16,8",10,Comércio Mineiro,São Paulo,Brazil,6/4/2015
Spegesild,Seafood,"9,6",5,Comércio Mineiro,São Paulo,Brazil,6/4/2015
NuNuCa Nuß-Nougat-Creme,Confections,"11,2",12,Magazzini Alimentari Riuniti,Bergamo,Italy,6/4/2015
Guaraná Fantástica,Beverages,"3,6",28,Magazzini Alimentari Riuniti,Bergamo,Italy,6/4/2015
Nord-Ost Matjeshering,Seafood,"20,7",8,Königlich Essen,Brandenburg,Germany,7/4/2015
Ipoh Coffee,Beverages,"36,8",15,Königlich Essen,Brandenburg,Germany,7/4/2015
Gula Malacca,Condiments,"15,5",2,White Clover Markets,Seattle,USA,10/4/2015
Chang,Beverages,"15,2",40,White Clover Markets,Seattle,USA,10/4/2015
Pavlova,Confections,"13,9",35,White Clover Markets,Seattle,USA,10/4/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",8,Bon app',Marseille,France,11/4/2015
Carnarvon Tigers,Seafood,50,30,Bon app',Marseille,France,11/4/2015
Tunnbröd,Grains/Cereals,"7,2",15,Bon app',Marseille,France,11/4/2015
Uncle Bob's Organic Dried Pears,Produce,24,30,B's Beverages,London,UK,11/4/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",20,B's Beverages,London,UK,11/4/2015
Guaraná Fantástica,Beverages,"3,6",80,Seven Seas Imports,London,UK,12/4/2015
Manjimup Dried Apples,Produce,"42,4",18,Seven Seas Imports,London,UK,12/4/2015
Geitost,Dairy Products,2,12,Island Trading,Cowes,UK,13/4/2015
Fløtemysost,Dairy Products,"17,2",12,Island Trading,Cowes,UK,13/4/2015
Tofu,Produce,"18,6",12,Pericles Comidas clásicas,México D.F.,Mexico,13/4/2015
